@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, 'bug  lancement   lancer application marche help  adorer cyprien faire maj  tchous  bon couscous '
bien, 'application   application magnifique '
bien, 'cool cool appli  apres  ya pr  '
mauvais, 'suivre|être avoir installation ca  stop MAJ  aimere  cyprien cyprken  gaming  '
bien, 'cool cool arriver prendre photo génial =  '
bien, 'cool super cool j  avoir decouvert  c  être apli  youtube  '
bien, 'super cool   adorer  cool cool cool cool '
mauvais, 'cool jouet génial pouvoir passer  cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool être génial '
bien, 'être bon  adorer app  no  bug  no  pub D  merci cyprien suivre|être gros fan continuer '
bien, 'super Ermer  regarder video  cyprien instantanement  être super beug  tablette '
bien, 'avoir adorer avoir app  dernier maj  avoir télécharger  dire app  être installer avoir désinstaller  réinstaller mettre plombe avoir charger(sans  succès façon adorer espérer même vs  aller régler blème  revoir note foi|fois être faire '
mauvais, 'vouloir lencer  appli  ca  marcher help  pease  adorer cyprien squeezie  so  t  surtut  squeezie  comselle  commenter jeu jouer ¡  hola  '
bien, 'début avoir beug  fermer l  appli  lancer foi|fois fermer l  application avoir videos  c  être rapide cool '
mauvais, ' aimer telecharger  application autre temps store annoncer pouvoir telecharger  avoir espace disponible portable avoir mo  Help  '
mauvais, 'ouvrer|ouvrir   suivre|être vraime  t  décevoir suivre|être fan masi  aplos  daigner ouvrire  '
bien, 'cool cool '
bien, 'cool cool '
bien, 'cool cool '
bien, 'cool cool '
mauvais, 'store   frere  marche avoir apple  what  marcher adorer cyprien '
bien, 'cool aimer  trrop  t  video  info  swag  manger cyprien '
bien, 'cool cool surtt  cyprien gaming  '
bien, 'falloir application écran '
bien, 'cool '
bien, 'cool '
bien, ' mettre ouvrer|ouvrir mort mettre étoile doit être bon appli  '
bien, 'Samsung  galaxy  s5    trop cool jeu adorer  cyprien jai  deja  faire ty  chert  narmol  trop cool instaler  aplis  '
bien, 'merci bcp  d  avoir créer appli  grâce pouvoir voir tt  vidéo c  cool jtd  '
bien, 'cool video    cool video  '
bien, 'regarder youtube  savoir pratique avoir besoin d  aller regarder jour youtube  voir avoir faire nouvdlle  video  l  afiche  tel qu  video  sortir '
neutre, 'marche lancement reste blanc faire qqch  svp  adorer cyprien '
mauvais, ' étoile marcher ouvrer|ouvrir page blanc o  coin icône orai  être super apps  Wiko  ozzy  '
bien, 'génial  cyprien avoir don faire rire gens XD  '
bien, 'vidéo comprendre faire jouer vidéo part c  être super pouvoir m  aider '
neutre, 'Bugs  application ouvrer|ouvrir vouloir ouvrir page rester blanc fermer '
bien, 'Oua  c  genial    aimer  grave adorer  cyprien aimerfai  poser question être connaître squeezie  ca  c  c  norman  kihouu  tal  blackm  '
bien, 'bon appli    adorer application bug  présentation être clair nouveau vidéo être publier suivre|être informer notification conseiller application fan '
mauvais, 'Probleme  icone   ais installer nouveau maj  icone application avoir disparaître avoir installer maj  application eteait  tres  '
mauvais, 'avoir beug  ca  vouloir ouvrir adorer '
bien, 'lancer application bug  avoir iPod  être être '
bien, 'juste truc   pouvoir mettre chose quitter page retourner sec rien être mémoire devoir reconnecter  remettre match foi|fois perdre c  relou  aimer  lappli  juste côté pratique avoir mal -/  désoler correction nan  '
mauvais, 'passe côté objectif   app  être censé permettre parier match faire pub match site mobile être pourrave  avoir rater gros gain cause fonctionnement faire avoir intérêt inexistant application trompeur servir rien état '
mauvais, ' ien  désert n  avoir être l  option couper monde '
bien, 'aipe  football   joueur préféré Lionel  '
bien, ' aimer betclic  être étoile '
mauvais, 'belgique absent  impossible inscrire être naître absent liste ridicule '
bien, ' énial  suivre '
bien, ' apiti  cool '
bien, 'tester satisfaire tester satisfaire no  '
bien, ' rès  bon app  adorer '
bien, 'super manqait  reussir  pari coool  '
bien, 'betclic  live suivre|être resultats  direct smart  maintenent  heureux avoir appli  betclic  faciliter tache '
bien, ' agnifique  information '
bien, ' avoir '
bien, 'avoir adorer  avoir adorer '
bien, ' coool  '
bien, 'top sympa '
bien, ' avoir pa  '
neutre, ' ui  '
bien, ' caler '
bien, ' ul  '
bien, ' aimer '
mauvais, 'impossible inscrire  avoir âne appeler inscrire nom répondre nom exister lol  suivre|être unique '
mauvais, ' avoir tout pratique pouvoir effectuer recherche présentation être exceptionnelle.  '
neutre, 'faire chose  dire être valable applis  pari trouver dingue avoir applis  permettre parier ligne avoir minimum @ord@ aller faire rêver '
mauvais, 'avoir revoir tout ergonomique impossible parier application '
neutre, '  ca  faire principal parier '
mauvais, ' pari mobile android  '
mauvais, ' rancheche  zéro *  '
mauvais, ' res  nul '
bien, ' erci  '
bien, ' ote  bet  clic l  avoir parier live s  intaller  sufit  ds  bet  clic live telecharger  l  apli  falloir cliquer pub parer l  appli  falloir cocher ds  reglages  autoriser installation source inconnu sympa live manquer streaming  ca  être top '
mauvais, 'instable application instable s3  ram faire chauffer processeur rester pc  aller consulter Internet mobile '
mauvais, 'nul pouvoir parier l  appli  utilité '
mauvais, 'pourrir mourir  beau pub virée '
mauvais, 'servir avoir rien  appli  être avoir hauteur marque côte être introuvable parcours appli  être rapide ya avoir voir avoir faire Cest  moche cest  beau gars '
mauvais, 'servir apli   impossible parier voir côte connecter faire '
bien, 'Ebook  super installation avoir acheter ebook  suivre|être décevoir '
bien, 'avoir desinstallé  autre application reader avoir besoin merci outil merveilleux '
bien, 'bon application amélioration pouvoir être apporter niveau ergonomie '
mauvais, 'confus intuitif Et  ras bol rate poubelle deconseille  '
mauvais, 'pub trouver pdf  epub  l  autre ebook  reader être foi|fois '
bien, ' plaisir pouvoir lire roman annoter commenter propre ouvrage être gène pub grand merci '
bien, ' être cool savoir pouvoir surligner  mot '
bien, 'bon application   être pouvoir conseiller être deçu  essai autre c  être meilleur '
bien, '  marcher lie format souci wiko  '
bien, 'avoir besoin aller bibliothèque avoir portable  merci '
bien, 'class  tres  bne  appli  mn  rivaliser avc  slmt  q  reconnaître pa  autre type d  fichier apart  pdf  ds  dossiers.  c  class affichage c  more than  adobe believe  '
neutre, 'dodo Eebok  reader être petit d.  interessant  recommander paix '
bien, 'E  book  reader   facile d  utilisation j  apprécier arriver maîtriser élément retrouver page '
