@relation play_store_comments
@attribute class {mauvais, neutre, bien}
@attribute text String
@data
neutre, ': bug de lancement Commentaire : dès que je lance l\' application ça marche pas help sinon j\' adore cyprien faite un maj ( Wiko Rainbow ) tchous bon couscous '
bien, ': Application très bien Commentaire : Application magnifique '
bien, ': Cool Commentaire : Vraiment cool comme appli , apres ya pareil pr . SQUEEZIE '
mauvais, ': Buggg Commentaire : Je suis a 95 % de l\' installation et ca se stop vite MAJ sinon je kiffe cyprien et cyprken gaming '
bien, ': Cool Commentaire : Cool mais j\' arrive pas à prendre de photos sinon trop génial ! ! ! = ) '
bien, ': Cool Commentaire : Super vraiment cool j ai decouvert c est apli sur youtube '
bien, ': super cool Commentaire : jadore cool cool cool cool '
mauvais, ': trop cool ce jouet vraiment génial franchement je pourrai pas m\' en passer Commentaire : cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool c\' est génial . '
bien, ': C\' est trop bon ... . . Commentaire : J\' adore cette app , no bug no pub ! : D merci cyprien , je suis un gros fan de toi . continue comme cela ; - ) '
bien, ': Super Commentaire : Ermer de regarder toute les video de cyprien instantanement c\' est super , aucun beug sur ma tablette '
bien, ': J\' ai adoré mais ... Commentaire : J\' ai cette app depuis longtemps et depuis la dernière maj je l\' ai pourtant télécharger mais il me dit l\' app n\' est pas installé WHAT ? Donc ai désinstaller puis réinstaller et maintenant il mets 3 plombes a charger(sans succès ) . De toute façon je t\' adore Cyprien ! Mais j\' espère quand même que vs allez régler ce blème et vite ! Je reverrais ma note une fois que ceci sera fait . '
mauvais, ': Bug Commentaire : Des que le veux lencer l\' appli \' ca ne marche pas help me pease ! ! ! Sinon moi j\' adore cyprien et squeezie il so t trop bien surtut squeezie je vous le comselle fortement il commente des jeux pendant qu\' il y joue : ) ¡ hola ! '
bien, ': Sympas Commentaire : Au début il y a un beug , fermer l appli et lancez la 2 ou 3 fois et puis fermez l application . On a tout les videos de Cyprien et c est plus rapide je sur YouTube ; ) vraiment cool '
mauvais, ': Bug de Play Store ? Commentaire : J\' aimerai beaucoup telecharger cette application et bien d\' autres mais depuis quelques temps mon play store m\' annonce que je ne peux pas en telecharger car je n\' ai plus d\' espace disponible sur mon portable alors que j\' ai encore 200 mo . Help '
mauvais, ': Sa ne s\' ouvre pas Commentaire : Je suis vraime t déçue je suis vraiment fan de Cyprien masi l\' aplos de daigne même pas s\' ouvrire alors vite une MAJ '
bien, ': Cool Commentaire : Cool '
bien, ': Cool Commentaire : Cool '
bien, ': Cool Commentaire : Cool '
bien, ': Cool Commentaire : Cool '
mauvais, ': BUG de play store Commentaire : Ben mon frere sa marche mais il a un apple alors what ! Sa ne marche pas mais j\' adore cyprien '
bien, ': Trop cool Commentaire : Jaim trrop t video pour info le swag sa se mange pas cyprien '
bien, ': Cool Commentaire : Cool surtt cyprien gaming '
bien, ': Bug De Lancement Commentaire : Il Faudrait Faire Une MAJ Car Beaucoup De Personnes On Des Bug Comme Moi ( Quand On Lance L\' applications L\' écran Est Blanc Avec Noté " Cyprien " , Donc Faut Une Nouvelle MAJ ? '
bien, ': Cool Commentaire : Coooooooooooooooooooooooooooooooooooooooooooooooooooool ! ! ! ! ! ! ! ! '
bien, ': Cool Commentaire : Cooooool '
bien, ': Commentaire : Des que je la met elle ne s\' ouvre pas trop la mort mais je mets 4 étoile car sa doit être une très bonne appli '
bien, ': Samsung galaxy s5 Commentaire : Ses trop cool se jeux jador cyprien jai deja fait un ty chert narmol ses trop cool instaler cette aplis '
bien, ': A Cyprien Commentaire : Merci bcp d avoir créé cette appli grâce à toi je peux voir tt tes vidéo c trop cool jtd '
bien, ': cool les video Commentaire : cool tes video '
bien, ': avant je regarde sur youtube mais la sait plus pratique Commentaire : on a pas besoin d aller regarder tous les jour youtube pour voir si il a fait des nouvdlle video sa l afiche sur le tel des qu un video sort '
neutre, ': Bof Commentaire : Marche Pas au lancement . Sa reste blanc . Faites qqch svp . Snn j\' adore cyprien '
mauvais, ': Commentaire : Je mais un étoile parce que sa ne marche pas sa m\' ouvre une page blanche avec o coin l\' icône de Cyprien . Si non sa orai du être une super apps . ( Wiko ozzy . ) '
bien, ': Génial ! ! ! Commentaire : Cyprien t\' as un don pour faire rire les gens ou quoi ? ! XD '
bien, ': Vidéo Commentaire : Je ne comprend pas comment on fait pour jouer avec ses vidéos . A part ça c est super . Quelque peut m aider ? ? ? '
neutre, ': Bugs Commentaire : L\' application ne s\' ouvre pas quand on veut l\' ouvrir . La page reste blanche puis se ferme . '
