@relation play_store_comments
@attribute class {mauvais, neutre, bien}
@attribute text String
@data
neutre, 'bug lancement Commentaire lance application marche help adore cyprien faite maj tchous bon couscous '
bien, 'Application Commentaire Application magnifique '
bien, 'Cool cool appli apres ya pr '
mauvais, 'suis a installation ca stop MAJ kiffe cyprien cyprken gaming '
bien, 'Cool Cool arrive prendre photos génial = '
bien, 'Cool Super cool j ai decouvert c est apli youtube '
bien, 'super cool Commentaire jadore cool cool cool cool '
mauvais, 'cool jouet génial pourrai passer Commentaire cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool est génial '
bien, 'est bon Commentaire adore app no bug no pub D merci cyprien suis gros fan continue '
bien, 'Super Ermer regarder video cyprien instantanement est super beug tablette '
bien, 'ai adoré ai app dernière maj ai télécharger dit app est installé ai désinstaller réinstaller mets plombes a charger(sans succès façon adore espère même vs allez régler blème reverrais note fois sera fait '
mauvais, 'veux lencer appli ca marche help pease adore cyprien squeezie so t surtut squeezie comselle commente jeux joue ¡ hola '
bien, 'début a beug fermer l appli lancez fois fermez l application a videos c est rapide cool '
mauvais, 'Commentaire aimerai telecharger application autres temps store annonce peux telecharger ai espace disponible portable ai mo Help '
mauvais, 'ouvre Commentaire suis vraime t déçue suis fan masi aplos daigne ouvrire '
bien, 'Cool Cool '
bien, 'Cool Cool '
bien, 'Cool Cool '
bien, 'Cool Cool '
mauvais, 'store Commentaire frere marche a apple what marche adore cyprien '
bien, 'cool Jaim trrop t video info swag mange cyprien '
bien, 'Cool Cool surtt cyprien gaming '
bien, 'Faudrait applications écran '
bien, 'Cool '
bien, 'Cool '
bien, 'Commentaire met ouvre mort mets étoile doit être bonne appli '
bien, 'Samsung galaxy s5 Commentaire trop cool jeux jador cyprien jai deja fait ty chert narmol trop cool instaler aplis '
bien, 'Merci bcp d avoir créé appli grâce peux voir tt vidéo c cool jtd '
bien, 'cool video Commentaire cool video '
bien, 'regarde youtube sait pratique a besoin d aller regarder jour youtube voir a fait nouvdlle video l afiche tel qu video sort '
neutre, 'Marche lancement reste blanc Faites qqch svp adore cyprien '
mauvais, 'Commentaire étoile marche ouvre page blanche o coin icône orai être super apps Wiko ozzy '
bien, 'Génial Commentaire Cyprien as don faire rire gens XD '
bien, 'Vidéo comprend fait jouer vidéos part c est super peut m aider '
neutre, 'Bugs application ouvre veut ouvrir page reste blanche ferme '
bien, 'Oua c genial Commentaire kiff grave jadore cyprien jaimefai poser question est connais squeezie ca c c norman kihouu tal blackm '
bien, 'bonne appli Commentaire adore application bug présentation est claire nouvelle vidéo est publiée suis informé notification conseille application fans '
mauvais, 'Probleme icone Commentaire ais installer nouvelle maj icone application a disparu avoir installer maj application eteait tres '
mauvais, 'a beug ca veut ouvrir adore '
bien, 'lance application bug ai iPod est est '
bien, 'Juste truc Commentaire peux mettre chose quitte page retourne sec rien est mémoire dois reconnecter remettre matchs fois perds c relou jaime lappli juste côté pratique ai mal -/ désolé correction nan '
mauvais, 'Passe côté objectif Commentaire app est censé permettre parier matches font pub matches site mobile est pourrave ai raté gros gains cause fonctionnement faisant avoir intérêt inexistant application trompeuse sert rien état '
mauvais, 'Commentaire ien désert n a est l option coupe monde '
bien, 'aipe football Commentaire joueur préféré Lionel '
bien, 'Commentaire aime betclic est étoiles '
mauvais, 'Belgique absente Commentaire Impossible inscrire êtes né absente liste Ridicule '
bien, 'Commentaire énial suivre '
bien, 'Commentaire apiti cool '
bien, 'Testé satisfait Testé satisfait no '
bien, 'Commentaire rès bonne app adore '
bien, 'Super manqait reussir paris coool '
bien, 'betclic live suis resultats directe smart Commentaire maintenent heureux ai appli betclic facilite tache '
bien, 'Commentaire agnifique informations '
bien, 'Commentaire a '
bien, 'ai adoré Commentaire ai adoré '
bien, 'Commentaire coool '
bien, 'top sympa '
bien, 'Commentaire ai pa '
neutre, 'Commentaire ui '
bien, 'Commentaire caler '
bien, 'Commentaire ul '
bien, 'Commentaire aime '
mauvais, 'Impossible inscrire Commentaire a âne appelle inscris nom répond nom existe lol suis unique '
mauvais, 'Commentaire as tout pratique peux effectuer recherche présentation est exceptionnelle. '
neutre, 'faites chose Commentaire dis est valable applis paris trouve dingue ait applis permet parier ligne a minimum 4. Allez faites rêver '
mauvais, 'A revoir tout ergonomique impossible parier application '
neutre, 'Commentaire ca fait principal parier '
mauvais, 'Commentaire paris mobile android '
mauvais, 'Commentaire rancheche zéro * '
mauvais, 'Commentaire res nul '
bien, 'Commentaire erci '
bien, 'Commentaire ote bet clic l ont parier live s intaller sufit ds bet clic live telecharger l apli faut cliquer pub pariez l appli faut cocher ds reglages autoriser installation source inconnu sympa live manque streaming ca sera top '
mauvais, 'Instable Application instable s3 ram fait chauffer processeur restez pc aller consulter internet mobile '
mauvais, 'Nul peut parier l appli utilité '
mauvais, 'pourrie meurs Commentaire belle pub Virée '
mauvais, 'Sert a rien Commentaire appli est a hauteur marque côtes sont introuvables parcours appli est rapide Ya a voir a faire Cest moche cest beau gars '
mauvais, 'sert apli Commentaire Impossible parier voir côte connecter faire '
bien, 'Ebook Super installation ai acheté ebook Suis déçu '
bien, 'ai desinstallé autres applications reader ai besoin Merci outil merveilleux '
bien, 'bonne application améliorations peuvent être apportées niveau ergonomie '
mauvais, 'confus intuitif Et ras bol rate poubelle deconseille '
mauvais, 'pub trouve pdf epub l autre ebook reader est fois '
bien, 'Commentaire plaisir pouvoir lire romans annoter commenter propres ouvrages être gène pub Grand merci '
bien, 'Commentaire est cool sais peuvent surligner mots '
