@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, ': de lancement : dès que je lancer le application cela marche pas sinon je adorer cyprien faire un ( ) bon couscous '
bien, ': application très bien : application magnifique '
bien, ': cool : vraiment cool comme , ya pareil . '
mauvais, ': : je suivre|être avoir @card@ % de le installation et se stop vite sinon je cyprien et '
bien, ': cool : cool mais je arriver pas à prendre de photo sinon trop génial ! ! ! ) '
bien, ': cool : super vraiment cool avoir être sur '
bien, ': super cool : cool cool cool cool '
mauvais, ': trop cool ce jouet vraiment génial franchement je pouvoir pas me en passer commentaire : cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool ce être génial . '
bien, ': ce être trop bon ... . . commentaire : je adorer ce , pub ! : merci cyprien , je suivre|être un gros fan de toi . continuer comme cela ; - ) '
bien, ': super : de regarder tout le de cyprien ce être super , aucun sur mon tablette '
bien, ': je avoir adorer mais ... : je avoir ce depuis longtemps et depuis le dernier je la|le avoir pourtant mais il me dire le ne être pas installer ? donc avoir puis réinstaller et maintenant il mettre @card@ plombe avoir succès ) . de tout façon je te adorer ! mais je espérer quand même que aller régler ce et vite ! je revoir mon note un foi|fois que ceci être faire . '
mauvais, ': : du que le vouloir le \' ne marcher pas me ! ! ! sinon moi je adorer cyprien et il trop bien je vous le fortement il commenter du jeu pendant que il y jouer : ) ! '
bien, ': : au début il y avoir un , fermer et lancer le @card@ ou @card@ foi|fois et puis fermer application . on avoir tout le de et être plus rapide je sur ; ) vraiment cool '
mauvais, ': de ? commentaire : je aimer beaucoup ce application et bien de autre mais depuis quelque temps mon play store me annoncer que je ne pouvoir pas en car je ne avoir plus de espace disponible sur mon portable alors que je avoir encore @card@ . '
mauvais, ': son ne se ouvrer|ouvrir pas : je suivre|être décevoir je suivre|être vraiment fan de le de daigner même pas se alors vite un '
bien, ': cool : cool '
bien, ': cool : cool '
bien, ': cool : cool '
bien, ': cool : cool '
mauvais, ': de play store : ben mon son marche mais il avoir un alors ! son ne marcher pas mais je adorer cyprien '
bien, ': trop cool : pour le son se manger pas cyprien '
bien, ': cool : cool cyprien '
bien, ': : il falloir ( le application le écran Est Blanc " " , '
bien, ': cool : ! ! ! ! ! ! ! ! '
bien, ': cool : '
bien, ': commentaire : du que je la mettre elle ne se ouvrer|ouvrir pas trop le mort mais je mettre @card@ étoile car son doit être un très bon '
bien, ': : son trop cool se jeu cyprien faire un son trop cool ce '
bien, ': à : merci avoir créer ce grâce à toi je pouvoir voir ton vidéo trop cool '
bien, ': cool le : cool ton '
bien, ': avant je regarder sur mais la savoir plus pratique : on avoir pas besoin aller regarder tout le jour pour voir si il avoir faire du son sur le tel du un sortir '
neutre, ': bof : marche au lancement . son reste blanc . faire . je adorer cyprien '
mauvais, ': commentaire : je mais un étoile parce que son ne marcher pas son me ouvrer|ouvrir un page blanc avec coin le icône de . si non son du être un super . ( . ) '
bien, ': génial ! ! ! commentaire : cyprien te avoir un don pour faire rire le gens ou quoi ? ! '
bien, ': vidéo : je ne comprendre pas comment on faire pour jouer avec son vidéo . à part cela être super . quelque pouvoir aider ? ? ? '
neutre, ': : le application ne se ouvrer|ouvrir pas quand on vouloir la|le ouvrir . le page rester blanc puis se fermer . '
bien, ': : je grave car cyprien et lui poser un question : être ce que tu connaître ( oui sur ) ... . '
bien, ': très bon : je adorer ce application de , aucun , le présentation être clair , à chaque que un nouveau vidéo être publier je suivre|être informer par un notification . je conseiller fortement ce application au fan de . '
mauvais, ': de icone : depuis que je ais installer le nouveau @card@ le icone de le application avoir disparaître mais sinon avant de avoir installer le le application bonne '
mauvais, ': : moi aussi il y avoir un , ne vouloir pas se ouvrir . mais moi aussi je adorer ! '
bien, ': : du que je lancer le application il mais je la|le avoir sur mon être ce être très bien ! '
bien, ': juste un truc : je ne pouvoir mettre @card@ pour un chose lorsque je quitter le page sous et que je y retourner @card@ sec après rien ne être en mémoire je devoir me et remettre mon match à chaque foi|fois ... bref je perdre tout bien ! mais bien sinon juste le côté pratique ou je avoir un peu de mal : désoler , un correction à cela ? ? ? '
mauvais, ': passe à côté de son objectif : un , ce être censé permettre de parier sur le match ! surtout que il en faire le pub à le TV avant le match ! le site mobile de être , je avoir rater de gros gain à cause de son fonctionnement , et aussi en me faire avoir par le intérêt inexistant de ce application trompeur . bref , ne servir à rien en le état . '
mauvais, ': commentaire : le désert ! ! ! ! ! il y avoir rien ou être option couper du monde ? ? ? ? '
bien, ': le football : mon joueur préféré ce '
bien, ': commentaire : \' aimer ce être pour cela je me cinq étoile '
mauvais, ': belgique absent ! commentaire : impossible de se inscrire si vous être naître en Belgique , absent dans le liste ... ridicule ! '
bien, ': commentaire : pour suivre le du Monde ! '
bien, ': commentaire : cool '
bien, ': tester & satisfaire : tester & satisfaire : comment '
bien, ': commentaire : bon . je adorer ! '
bien, ': super : ce qui me pour le pari , . '
bien, ': avec live je suivre|être tout mon en direct sur mon smart . commentaire : je heureux car je avoir le et cela me faciliter le tache '
bien, ': commentaire : , je tout le information ! ! '
bien, ': commentaire : avoir bon '
bien, ': je avoir adorer . commentaire : je avoir adorer . '
bien, ': commentaire : trop '
bien, ': top : trop sympa ! ! ! '
bien, ': commentaire : avoir mal '
neutre, ': commentaire : bof '
bien, ': commentaire : out caler '
bien, ': commentaire : '
bien, ': commentaire : aimer '
mauvais, ': impossible de se inscrire commentaire : il y avoir plus de @card@ âne qui se appeler Martin , quand je me inscrire avec mon nom on me répondre que le nom exister déjà ben oui je ne suivre|être pas unique ! ! ! '
mauvais, ': commentaire : avoir du tout pratique , on ne pouvoir pas effectuer de recherche et le présentation ne être pas non plus . '
neutre, ': , faire quelque chose ! commentaire : je dire cela pour vous mais ce être valable pour tout le de pari . je trouver cela dingue que il ne y avoir aucun qui permettre de parier en ligne sur , alors que sur , il y en avoir minimum @ord@ . aller , faire nous rêver ! '
mauvais, ': avoir revoir : pas du tout ergonomique et impossible de parier avec ce application . '
neutre, ': pas mal : pas mal mais faire pas le principal ... parier ... . '
mauvais, ': commentaire : quand le pari sur mobile sous '
mauvais, ': commentaire : zéro : ) : '
mauvais, ': commentaire : nul '
bien, ': commentaire : '
bien, ': commentaire : pour tout clic ( ou avoir peu parier en . live ) peu il clic live de ( il falloir cliquer sur le pub parer en bas et dl et il falloir cocher autoriser installation source inconnu ) . sinon sympa . pour le live manquer plus que du et être top '
mauvais, ': instable : application instable sur , qui ram et faire chauffer le processeur , rester sur le ou aller consulter directement sur Internet par mobile '
mauvais, ': nul : on ne pouvoir pas parier avec \' aucun utilité '
mauvais, ': plus pourrir , tu mourir ! commentaire : un beau pub et puis plus rien ! virée illico ! '
mauvais, ': servir avoir rien . commentaire : ce ne être pas avoir le hauteur de son marque . le côte être introuvable . le parcours de le être trop rapide . ya rien avoir voir . rien avoir faire . moche et pas beau . bravo le gars ! ! ! '
mauvais, ': elle servir à quoi ce ? ? ? commentaire : impossible de parier voir le côte ou se connecter ... autant rien faire ... '
bien, ': : super installation , avoir acheter un chez . suivre|être pas décevoir . '
bien, ': et : avec ceci , je avoir le autre application reader , car je en avoir plus besoin . merci pour ce outil merveilleux . '
bien, ': bien mais ... : très bon application , quelque amélioration pouvoir être néanmoins apporter au niveau et ergonomie . '
mauvais, ': trop confus : pas intuitif ... ras le bol du " rate " . donc poubelle et je . '
mauvais, ': bof : de le pub , me trouver mon mais pas mon autre reader être @card@ foi|fois mieux '
bien, ': commentaire : quel plaisir de pouvoir lire son roman et de annoter , de commenter son propre ouvrage et tout cela sans être gène par le pub ! ! grand merci ! ! ! '
bien, ': commentaire : ce être trop cool mais je ne savoir pas si il pouvoir le mot '
bien, ': un très bon application : ce être le mieux que je pouvoir vous conseiller . vous ne être pas \' après essai de plusieurs autre \' être le meilleur ! ! ! '
bien, ': très bien : il marcher très bien lie plusieurs format pas de souci avec mon '
bien, ': je ne avoir plus besoin de aller à le bibliothèque . je en avoir un sur mon portable . commentaire : merci ... '
bien, ': le class ! ! commentaire : C un sur @card@ ... cela rivaliser . cela ne reconnaître de autre type fichier le , le . mais sinon le class . le affichage more adobe . ! '
neutre, ': dodo : reader ne être pas petit , je vous le recommander . que le paix soit avec vous . '
bien, ': reader : facile utilisation , apprécier beaucoup , néanmoins , il arriver que je ne maîtriser pas le de élément et que je retrouver plusieurs page plus loin '
neutre, ': commentaire : L \' me permettre de ouvrir mon fichier sans . mais il falloir faire quelque chose pour le pub intempestif ! '
mauvais, ': ne lire pas le : ce format être prendre en charge avec le version @card@ mais le installation proposer que le version @card@ effectuer pour rien : '
bien, ': pratique : on retrouver tout notre document dans un seul . ce être très pratique . '
bien, ': pat : très bien mais si possible rendre le manipulation plus rapide quand on à un recherche à faire de un page que on vouloir lire rapidement , et le cela être le top , sinon bravo quand même , ce être le mieux que connaître pour le instant , merci beaucoup pour votre travail '
bien, ': parfait sauf : ce être parfait si il ne y avoir pas le pub '
bien, ': commentaire : simple de utilisation . le présentation du livre sur le étagère être et pratique à le usage . merci '
bien, ': ! ! ! commentaire : I lover apparence , avoir . avoir . '
bien, ': parfait : ce application être vraiment parfaire . je vous le recommander vivement . '
bien, ': ce que je chercher : fonctionner très bien un peu de pub mais pas trop gêner '
bien, ': galaxie @card@ commentaire : suite à le défaillance de je avoir installer ce et récupérer sans problème mon document et livre '
bien, ': excellent commentaire : super sur ! ! on avoir le impression de lire dans un livre réel '
mauvais, ': support format : , but , if ? '
bien, ': nickel : et efficacité . ce tirer le maximum du possibilité du téléphone . '
bien, ': magnifique : ce être elle nous permettre de plein de livre '
bien, ': commentaire : beau application . dommage ce page intempestif de pub , mais bon , il falloir accepter ce compromis . je recommander vivement ce . '
bien, ': chargement rapide , fluide et sobre : le page se charger rapidement , on attendre pas devant du page blanc comme autre . pas de fioriture , ce être clean , fluide . je me en sert majoritairement pour de gros doc et ce être nickel . '
bien, ': excellent : application satisfaisant , très pratique , un très bon affichage : ) je ne suivre|être pas décevoir . . '
bien, ': exactement ce que je vouloir : très bien pour lire confortablement un livre en '
bien, ': pas de quoi avoir ce : ton livre en être lire|liser '
neutre, ': commentaire : on me demander de noter sans la|le avoir utiliser ... je changer mon note plus tard '
neutre, ': cool : plutôt cool '
bien, ': livre : parfait pour lire un livre on retrouver facilement son page '
bien, ': lecteur simple : application satisfaisant , il être très rapide de ajouter le livre présent sur le carte . merci à le équipe . '
bien, ': très bon application : avec un document que créer je pas à avec liter et le pas de problème , je le recommander vivement '
bien, ': commentaire : bien très important pour voir son livre dans un joli bibliothèque ‚ mais le toile de araignée devoir être nettoyer '
bien, ': commentaire : bon application . simple et efficace , je apprécier beaucoup le interface en forme de bibliothèque où chaque fichier être un livre . à recommander . '
bien, ': Fred : être plus sophistiquer mais pour lire de pauvre il falloir payer|payer ! ! ... que ce reader être complet et gratuit ! rapport qualité prix imbattable '
mauvais, ': commentaire : pas pratique du tout , impossible de trier correctement ce recherche , nous envoi dans le même rayon quelque soit le choix . à déconseiller , après mettre énerver pendant un heure je avoir passer mon commande sur mon . '
mauvais, ': commentaire : L application être bien faire , je mettre @card@ étoile car être facile de gonfler le prix et de mettre un réduction à côté pour arriver au prix normal , ( il y avoir que avoir regarder le prix du jouet avant réduction , pour en rendre compte ) '
bien, ': vraiment sympa ! : ) : très bon application ! '
bien, ': commentaire : je aimer bien ! pas mal ... '
bien, ': application pratique : seul bémol , le notification ne se mettre pas à jour de manière automatique ... doubler '
bien, ': je recommander : top '
neutre, ': commentaire : pas mal mais pas avoir le hauteur de ce que je attendre '
bien, ': commentaire : bon application , merci '
mauvais, ': bien : je aimer . '
bien, ': commentaire : bon application . '
bien, ': commentaire : ce être un bon application '
bien, ': commentaire : bon mais un peu lent pour valider le commande et avoir du mal à supprimer le article que le on ne vouloir plus . '
bien, ': commentaire : je adorer ce application . '
bien, ': commentaire : bon '
mauvais, ': commentaire : impossible de payer|payer '
bien, ': commentaire : indispensable . '
bien, ': commentaire : '
mauvais, ': non compatible : comment ce faire il que le package du fichier être incompatible ? ? '
mauvais, ': site escroc . à signaler avoir le . commentaire : ne respecter pas son propre condition général de vente . bafouer le droit de rétractation . le se moquer du monde . si vous retourner votre achat , il vous revenir car personne pour le recevoir et pas de boite pour le avis de passage . et le comble vous devoir repayer|repayer le frai|frais de port pour le récupérer . '
