@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, ' bug  de lancement dès que je lancer le application cela marche pas help  sinon je adorer cyprien faire un maj  ( Wiko  Rainbow  ) tchous  bon couscous '
bien, ' application très bien application magnifique '
bien, ' cool vraiment cool comme appli  , apres  ya pareil pr  . SQUEEZIE  '
mauvais, ' Buggg  je suivre|être avoir @card@ % de le installation et ca  se stop vite MAJ  sinon je aimere  cyprien et cyprken  gaming  '
bien, ' cool cool mais je arriver pas à prendre de photo sinon trop génial ! ! ! =  ) '
bien, ' cool super vraiment cool j  avoir decouvert  c  être apli  sur youtube  '
bien, ' super cool je adorer  cool cool cool cool '
mauvais, ' trop cool ce jouet vraiment génial franchement je pouvoir pas me en passer cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool ce être génial . '
bien, ' ce être trop bon ... . . je adorer ce app  , no  bug  no  pub ! : D  merci cyprien , je suivre|être un gros fan de toi . continuer comme cela ; - ) '
bien, ' super Ermer  de regarder tout le video  de cyprien instantanement  ce être super , aucun beug  sur mon tablette '
bien, ' je avoir adorer mais ... je avoir ce app  depuis longtemps et depuis le dernier maj  je la|le avoir pourtant télécharger  mais il me dire le app  ne être pas installer WHAT  ? donc avoir désinstaller  puis réinstaller et maintenant il mettre @card@ plombe avoir charger(sans  succès ) . de tout façon je te adorer Cyprien  ! mais je espérer quand même que vs  aller régler ce blème  et vite ! je revoir mon note un foi|fois que ceci être faire . '
mauvais, ' Bug  du que le vouloir lencer  le appli  \' ca  ne marcher pas help  me pease  ! ! ! sinon moi je adorer cyprien et squeezie  il so  t  trop bien surtut  squeezie  je vous le comselle  fortement il commenter du jeu pendant que il y jouer : ) ¡  hola  ! '
bien, ' Sympas  au début il y avoir un beug  , fermer l  appli  et lancer le @card@ ou @card@ foi|fois et puis fermer l  application . on avoir tout le videos  de Cyprien  et c  être plus rapide je sur YouTube  ; ) vraiment cool '
mauvais, ' Bug  de Play  Store  ? je aimer beaucoup telecharger  ce application et bien de autre mais depuis quelque temps mon play store me annoncer que je ne pouvoir pas en telecharger  car je ne avoir plus de espace disponible sur mon portable alors que je avoir encore @card@ mo  . Help  '
mauvais, ' son ne se ouvrer|ouvrir pas je suivre|être vraime  t  décevoir je suivre|être vraiment fan de Cyprien  masi  le aplos  de daigner même pas se ouvrire  alors vite un MAJ  '
bien, ' cool cool '
bien, ' cool cool '
bien, ' cool cool '
bien, ' cool cool '
mauvais, ' BUG  de play store ben mon frere  son marche mais il avoir un apple  alors what  ! son ne marcher pas mais je adorer cyprien '
bien, ' trop cool je aimer  trrop  t  video  pour info  le swag  son se manger pas cyprien '
bien, ' cool cool surtt  cyprien gaming  '
bien, ' Bug  De  Lancement  il falloir Faire  Une  MAJ  Car  Beaucoup  De  Personnes  On  Des  Bug  Comme  Moi  ( Quand  On  Lance  le application le écran Est Blanc Avec  Noté  " Cyprien  " , Donc  Faut  Une  Nouvelle  MAJ  ?  '
bien, ' cool Coooooooooooooooooooooooooooooooooooooooooooooooooooool  ! ! ! ! ! ! ! ! '
bien, ' cool Cooooool  '
bien, ' du que je la mettre elle ne se ouvrer|ouvrir pas trop le mort mais je mettre @card@ étoile car son doit être un très bon appli  '
bien, ' Samsung  galaxy  s5  son trop cool se jeu je adorer  cyprien jai  deja  faire un ty  chert  narmol  son trop cool instaler  ce aplis  '
bien, ' à Cyprien  merci bcp  d  avoir créer ce appli  grâce à toi je pouvoir voir tt  ton vidéo c  trop cool jtd  '
bien, ' cool le video  cool ton video  '
bien, ' avant je regarder sur youtube  mais la savoir plus pratique on avoir pas besoin d  aller regarder tout le jour youtube  pour voir si il avoir faire du nouvdlle  video  son l  afiche  sur le tel du qu  un video  sortir '
neutre, ' bof marche Pas  au lancement . son reste blanc . faire qqch  svp  . Snn  je adorer cyprien '
mauvais, ' je mais un étoile parce que son ne marcher pas son me ouvrer|ouvrir un page blanc avec o  coin le icône de Cyprien  . si non son orai  du être un super apps  . ( Wiko  ozzy  . ) '
bien, ' génial ! ! ! cyprien te avoir un don pour faire rire le gens ou quoi ? ! XD  '
bien, ' vidéo je ne comprendre pas comment on faire pour jouer avec son vidéo . à part cela c  être super . quelque pouvoir m  aider ? ? ? '
neutre, ' Bugs  le application ne se ouvrer|ouvrir pas quand on vouloir la|le ouvrir . le page rester blanc puis se fermer . '
